Image,X,Y
p000025.jpg,85260.659,446975.228
p000026.jpg,85260.218,446974.654
p000027.jpg,85259.787,446974.139
p000028.jpg,85260.024,446973.557
p000029.jpg,85260.764,446973.149
p000030.jpg,85261.553,446972.566
p000031.jpg,85261.752,446972.075
p000032.jpg,85261.325,446972.788
p000033.jpg,85260.619,446973.413
p000034.jpg,85259.776,446973.650
p000035.jpg,85258.948,446973.294
p000036.jpg,85258.274,446972.726
p000037.jpg,85257.724,446971.977
p000038.jpg,85257.452,446971.122
p000039.jpg,85257.516,446970.191
p000040.jpg,85257.689,446969.210
p000041.jpg,85257.209,446968.311
p000042.jpg,85256.348,446967.778
p000043.jpg,85255.381,446967.724
p000044.jpg,85254.661,446968.114
p000045.jpg,85253.936,446968.721
p000046.jpg,85253.297,446969.447
p000047.jpg,85252.725,446970.108
p000048.jpg,85252.059,446970.838
p000049.jpg,85251.410,446971.464
p000050.jpg,85251.619,446971.665
p000051.jpg,85252.071,446970.881
p000052.jpg,85252.528,446970.077
p000053.jpg,85253.143,446969.277
p000054.jpg,85253.882,446968.593
p000055.jpg,85254.755,446968.034
p000056.jpg,85255.622,446967.636
p000057.jpg,85256.578,446967.665
p000058.jpg,85256.972,446967.177
p000059.jpg,85256.615,446966.518
p000060.jpg,85255.935,446965.913
p000061.jpg,85254.954,446965.436
p000062.jpg,85254.039,446964.926
p000063.jpg,85253.194,446964.344
p000064.jpg,85252.440,446963.709
p000065.jpg,85251.648,446963.014
p000066.jpg,85250.846,446962.286
p000067.jpg,85250.190,446961.467
p000068.jpg,85249.488,446960.618
p000069.jpg,85248.827,446959.687
p000070.jpg,85248.165,446958.834
p000071.jpg,85247.490,446958.031
p000072.jpg,85246.694,446957.327
p000073.jpg,85245.965,446956.688
p000074.jpg,85245.308,446956.807
p000075.jpg,85244.825,446955.938
p000076.jpg,85244.413,446954.987
p000077.jpg,85243.888,446953.949
p000078.jpg,85243.182,446953.062
p000079.jpg,85242.367,446952.235
p000080.jpg,85241.518,446951.660
p000081.jpg,85240.545,446951.721
p000082.jpg,85239.708,446952.054
p000083.jpg,85238.965,446952.627
p000084.jpg,85238.763,446953.349
p000085.jpg,85239.275,446954.049
p000086.jpg,85239.911,446954.816
p000087.jpg,85240.678,446955.701
p000088.jpg,85241.465,446956.629
p000089.jpg,85242.185,446957.500
p000090.jpg,85243.004,446958.356
p000091.jpg,85243.754,446959.207
p000092.jpg,85244.461,446960.057
p000093.jpg,85245.151,446960.885
p000094.jpg,85245.855,446961.796
p000095.jpg,85246.543,446962.636
p000096.jpg,85247.227,446963.446
p000097.jpg,85248.057,446963.755
p000098.jpg,85248.711,446963.247
p000099.jpg,85249.372,446962.584
p000100.jpg,85249.935,446961.878
p000101.jpg,85249.701,446961.020
p000102.jpg,85249.150,446960.210
p000103.jpg,85248.440,446959.344
p000104.jpg,85247.771,446958.506
p000105.jpg,85246.977,446957.634
p000106.jpg,85246.258,446956.774
p000107.jpg,85245.502,446955.886
p000108.jpg,85244.732,446955.077
p000109.jpg,85244.074,446954.209
p000110.jpg,85243.351,446953.299
p000111.jpg,85242.622,446952.443
p000112.jpg,85241.939,446951.598
p000113.jpg,85241.253,446950.705
p000114.jpg,85240.525,446949.777
p000115.jpg,85239.762,446948.904
p000116.jpg,85238.888,446947.989
p000117.jpg,85238.130,446947.027
p000118.jpg,85237.339,446946.042
p000119.jpg,85236.632,446945.006
p000120.jpg,85235.782,446943.956
p000121.jpg,85234.873,446942.922
p000122.jpg,85234.077,446941.925
p000123.jpg,85233.162,446940.913
p000124.jpg,85232.307,446939.952
