Id,Image,Time,X,Y,Z,Heading,Roll,Pitch,Camera,Quality,Line,Color,AccuracyXy
24,p000023.jpg,1728323957,85261.5939,446980.4034,1.4806,71.3893,-3.4677,-8.1374,0,1,0,C0;0;0;0;0;0,0.1
25,p000024.jpg,1728323958,85261.29099,446979.9064,1.5106,106.9025,-1.0589,3.0052,0,1,0,C0;0;0;0;0;0,0.1
26,p000025.jpg,1728323960,85260.84833,446979.3362,1.442,139.1135,1.8564,2.4833,0,1,0,C0;0;0;0;0;0,0.1
27,p000026.jpg,1728323961,85260.41772,446978.7548,1.4613,150.6684,-3.3125,0.7289,0,1,0,C0;0;0;0;0;0,0.1
28,p000027.jpg,1728323962,85259.99545,446978.2324,1.4398,123.2023,-4.067,-1.0999,0,1,0,C0;0;0;0;0;0,0.1
29,p000028.jpg,1728323963,85260.24203,446977.6543,1.4539,63.3751,-4.2964,-0.8832,0,1,0,C0;0;0;0;0;0,0.1
30,p000029.jpg,1728323964,85260.98987,446977.2595,1.4251,46.2865,-6.8499,1.8171,0,1,0,C0;0;0;0;0;0,0.1
31,p000030.jpg,1728323965,85261.78821,446976.6896,1.4688,46.0503,-6.163,0.1516,0,1,0,C0;0;0;0;0;0,0.1
32,p000031.jpg,1728323966,85261.99588,446976.2023,1.4616,111.9066,0.4703,-0.1977,0,1,0,C0;0;0;0;0;0,0.1
33,p000032.jpg,1728323967,85261.55688,446976.9083,1.4226,-141.0378,-1.8594,-4.9497,0,1,0,C0;0;0;0;0;0,0.1
34,p000033.jpg,1728323968,85260.8396,446977.5206,1.4553,-133.9851,-6.672,-1.4207,0,1,0,C0;0;0;0;0;0,0.1
35,p000034.jpg,1728323969,85259.99252,446977.7425,1.4607,-161.9824,-5.2552,0.2081,0,1,0,C0;0;0;0;0;0,0.1
36,p000035.jpg,1728323970,85259.17148,446977.3723,1.435,159.8871,-4.9333,-4.2537,0,1,0,C0;0;0;0;0;0,0.1
37,p000036.jpg,1728323971,85258.50665,446976.7927,1.4843,138.2837,-4.4254,0.4642,0,1,0,C0;0;0;0;0;0,0.1
38,p000037.jpg,1728323972,85257.97046,446976.0342,1.4814,124.1601,-4.0974,-2.8948,0,1,0,C0;0;0;0;0;0,0.1
39,p000038.jpg,1728323973,85257.71262,446975.1747,1.4775,109.6042,-5.4002,-0.2206,0,1,0,C0;0;0;0;0;0,0.1
40,p000039.jpg,1728323974,85257.79352,446974.2454,1.4774,90.6015,-3.1444,-2.5576,0,1,0,C0;0;0;0;0;0,0.1
41,p000040.jpg,1728323975,85257.9834,446973.2674,1.476,91.5205,-5.3616,1.4981,0,1,0,C0;0;0;0;0;0,0.1
42,p000041.jpg,1728323976,85257.51926,446972.36,1.4643,129.5926,-1.614,-0.2472,0,1,0,C0;0;0;0;0;0,0.1
43,p000042.jpg,1728323977,85256.66693,446971.8118,1.4681,158.3517,-7.2191,-4.3897,0,1,0,C0;0;0;0;0;0,0.1
44,p000043.jpg,1728323978,85255.70119,446971.7411,1.4905,-166.202,-3.1247,-0.6854,0,1,0,C0;0;0;0;0;0,0.1
45,p000044.jpg,1728323979,85254.9743,446972.1193,1.4449,-134.4166,-2.37,-5.1639,0,1,0,C0;0;0;0;0;0,0.1
