id,x,y
1,85263.41211,446980.1217
2,85263.34009,446980.0319
3,85263.5119,446980.2501
4,85263.30981,446979.8638
5,85263.44821,446980.2365
6,85263.51859,446979.6951
7,85263.1456,446980.499
8,85263.03329,446980.5703
9,85262.67889,446980.8738
10,85262.65161,446980.9003
11,85262.26749,446981.2195
12,85262.29611,446981.1948
13,85260.35791,446981.2016
14,85260.55499,446981.0683
15,85258.9754,446979.5804
16,85259.26361,446979.8551
17,85260.0369,446980.8385
18,85259.3764,446980.0398
19,85258.80859,446979.3079
20,85259.02921,446979.5795
21,85258.44601,446978.8615
22,85259.3725,446980.1752
23,85258.60309,446979.0493
24,85259.00009,446979.5334
25,85258.9613,446979.9167
26,85259.0531,446979.413
27,85263.6077,446979.6338
28,85263.9313,446979.3322
29,85264.25421,446979.1065
30,85264.67261,446978.7323
31,85264.93811,446978.5054
32,85264.2482,446979.1082
33,85263.87601,446979.3795
34,85263.94031,446979.3643
35,85256.3855,446975.8679
36,85256.51169,446975.988
37,85259.95901,446980.2379
38,85258.1239,446978.4286
39,85264.64639,446978.7565
40,85265.30969,446978.1848
41,85254.5235,446971.6046
42,85254.12379,446971.9227
43,85254.228,446971.8466
44,85253.6772,446972.3124
45,85256.55109,446976.076
46,85253.73531,446972.2456
47,85253.2509,446972.6542
48,85253.82291,446972.1716
49,85252.82919,446972.9761
50,85253.2971,446972.6329
51,85253.3569,446972.5534
52,85256.5863,446976.102
53,85253.4068,446972.5269
54,85253.1557,446972.7368
55,85264.20651,446979.1413
56,85264.68579,446978.7193
57,85265.03979,446978.4168
58,85265.54761,446977.9722
59,85265.0336,446978.4164
60,85265.7533,446977.786
61,85266.00629,446977.6116
62,85265.98291,446977.0991
63,85266.31689,446976.786
64,85266.2467,446976.8711
65,85266.02719,446976.2917
66,85265.61301,446975.8047
67,85265.17871,446975.4243
68,85260.9057,446972.9332
69,85260.48929,446973.2927
70,85260.6366,446973.1443
71,85260.35071,446973.4932
72,85260.0123,446973.6835
73,85259.57941,446974.0153
74,85259.7673,446973.8862
75,85259.88239,446973.7659
76,85259.2074,446973.5035
77,85259.25009,446973.541
78,85259.4213,446973.8358
79,85257.70059,446968.9661
80,85257.3111,446969.3139
81,85257.27429,446969.3359
82,85256.86938,446969.6974
83,85256.5961,446968.6663
84,85256.59061,446968.6475
85,85256.9169,446969.54
86,85256.3136,446970.127
87,85255.1664,446966.7549
88,85255.4612,446966.7562
89,85255.0634,446966.273
90,85256.3793,446969.9822
91,85255.8007,446970.6102
92,85255.09,446966.9443
93,85253.33099,446964.5132
94,85254.54379,446966.2758
95,85255.80341,446970.5662
96,85253.35229,446964.1525
97,85255.3299,446970.943
98,85255.94479,446970.3318
99,85253.24451,446964.5956
100,85251.6721,446962.0233
101,85255.2807,446970.9929
102,85255.6239,446970.719
103,85255.9399,446970.3367
104,85254.856,446971.3275
105,85255.6136,446970.7001
106,85255.18491,446971.0765
107,85254.7939,446971.3934
108,85254.3723,446971.7208
109,85243.2813,446951.8854
110,85242.9478,446952.7393
111,85242.49271,446952.5317
112,85242.95309,446952.3497
113,85242.0658,446952.8626
114,85242.0477,446952.8892
115,85253.9995,446972.0056
116,85266.29431,446977.4207
117,85265.85861,446977.6411
118,85266.3183,446976.7878
119,85265.99371,446976.2466
120,85265.6286,446975.8241
121,85265.27109,446975.5176
122,85264.91281,446975.083
123,85264.59741,446974.7036
124,85264.52509,446974.6322
125,85264.20331,446974.0828
126,85263.85251,446973.6205
127,85263.37231,446973.2298
128,85263.1167,446972.7405
129,85262.711,446972.213
130,85259.60419,446974.0158
131,85259.24689,446973.5437
132,85256.57919,446968.6716
133,85255.4751,446966.7772
134,85255.0831,446966.317
135,85254.9901,446966.9546
136,85254.5733,446966.294
137,85253.29691,446964.1157
138,85253.1124,446963.8971
139,85242.4716,446952.523
140,85264.31079,446979.0435
141,85265.11841,446978.3638
142,85265.5452,446977.9843
143,85265.61389,446977.4536
144,85266.16211,446976.9531
145,85266.3595,446976.8305
146,85264.9371,446975.1463
147,85262.6344,446972.1058
148,85262.14899,446971.9331
149,85261.5994,446971.1396
150,85260.84509,446972.9866
151,85257.1452,446969.5011
152,85254.5172,446966.2885
153,85251.3862,446961.7911
154,85251.343,446961.7515
155,85242.0368,446952.8977
156,85261.00601,446981.7524
157,85261.41541,446981.751
158,85260.4754,446981.3018
159,85260.64749,446981.5273
160,85261.01682,446981.7453
161,85261.43051,446981.7721
162,85260.18661,446980.962
163,85260.58151,446981.4453
164,85261.06781,446981.4196
165,85261.04031,446981.726
166,85261.54749,446981.7807
167,85261.89291,446981.5016
168,85256.35461,446975.9025
169,85252.7635,446973.0723
170,85241.53101,446953.1697
171,85242.9256,446952.1365
172,85251.4922,446962.0801
173,85252.9958,446963.907
174,85262.16971,446971.8781
175,85253.048,446964.6309
176,85253.06,446964.6401
177,85257.39319,446969.2236
178,85265.94449,446976.1832
179,85260.1524,446980.9439
180,85266.12329,446976.3543
181,85253.0625,446972.852
182,85229.62801,446937.11
183,85241.6413,446953.2195
184,85252.99361,446964.6574
185,85242.7469,446952.8857
186,85242.8096,446952.2253
187,85251.5629,446962.0467
188,85259.83301,446980.556
189,85229.6161,446937.0886
190,85239.4165,446955.0263
191,85234.75259,446943.6723
192,85241.95911,446952.9215
193,85259.9281,446980.3088
194,85259.50571,446980.1766
195,85252.4545,446973.1823
196,85240.40849,446954.2165
197,85240.4456,446954.205
198,85240.16161,446954.4509
199,85226.17461,446933.4637
200,85227.90739,446935.216
201,85234.2854,446944.2045
202,85241.6532,446953.2034
203,85260.38339,446973.3437
204,85260.7081,446970.0333
205,85260.9342,446970.3082
206,85261.01291,446970.4004
207,85261.2894,446970.7853
208,85261.5126,446971.0547
209,85261.65121,446971.9023
210,85261.61249,446971.8397
211,85262.14941,446971.8895
212,85262.56519,446972.0597
213,85263.07541,446972.7632
214,85263.29291,446973.1545
215,85263.54599,446973.4598
216,85263.8945,446973.7405
217,85264.26721,446974.1929
218,85265.28619,446975.5513
219,85265.67389,446975.8575
220,85240.4821,446954.1761
221,85202.5415,446905.2842
222,85213.0807,446917.5223
223,85242.6501,446952.8794
224,85242.76511,446952.2608
225,85254.9693,446966.9924
226,85254.994,446966.3196
227,85255.42191,446966.7897
228,85256.37009,446968.7549
229,85257.49969,446969.1647
230,85260.10291,446973.6077
231,85260.70651,446970.0281
232,85260.86301,446972.9748
233,85261.01321,446970.4033
234,85261.2114,446970.7392
235,85261.65491,446971.9022
236,85262.1543,446971.9021
237,85262.56161,446972.0743
238,85262.76749,446972.2502
239,85263.01089,446972.6723
240,85263.26749,446973.113
241,85263.19131,446973.0358
242,85263.60739,446973.5195
243,85263.56171,446973.4716
244,85264.02719,446973.8115
245,85264.11789,446973.9133
246,85264.3067,446974.3226
247,85264.4321,446974.5224
248,85264.60941,446974.7214
249,85264.80649,446974.9758
250,85265.20779,446975.4914
251,85265.6102,446975.77
252,85233.48399,446944.9001
253,85240.5058,446954.1364
254,85233.9351,446944.5192
255,85240.9281,446953.7751
256,85226.1991,446933.3688
257,85229.6888,446937.0438
258,85241.44791,446953.3438
259,85266.61859,446977.1627
260,85259.89651,446980.6406
261,85258.42639,446978.8359
262,85261.51169,446971.0007
263,85256.63171,446976.4536
264,85257.7941,446978.0758
265,85239.3728,446955.0889
266,85257.0546,446977.175
267,85257.436,446977.6418
268,85251.22211,446961.6533
269,85226.79781,446933.6978
270,85234.37199,446944.1582
271,85257.78479,446978.0596
272,85257.40051,446977.605
273,85257.18631,446977.3284
274,85256.8299,446976.8957
275,85256.66989,446976.7037
276,85250.7122,446961.0621
277,85239.9222,446954.6437
278,85202.2213,446905.6735
279,85202.6922,446905.2253
280,85203.1463,446904.7804
281,85213.29041,446917.4418
282,85217.78799,446922.8896
283,85254.86571,446971.3393
284,85249.853,446959.5522
285,85250.8345,446961.1624
286,85249.8647,446959.5547
287,85250.8568,446961.1782
288,85239.9579,446954.5944
289,85226.42371,446933.4019
290,85226.4437,446933.2155
291,85251.1774,446961.5273
292,85204.6017,446908.6715
293,85249.82201,446959.5812
294,85254.43671,446966.2274
295,85257.69861,446969.022
296,85251.0638,446961.3497
297,85261.37701,446970.834
298,85257.69489,446977.9546
299,85258.0278,446978.3632
300,85203.1964,446904.798
301,85205.7354,446907.7792
