ID,x,y
1,0.239,2.195
2,0.946,2.278
3,1.147,2.453
4,-0.223,1.772
5,1.342,2.715
6,0.121,2.153
7,0.708,2.023
8,0.871,2.212
9,-0.274,1.744
10,0.35,2.069
11,-0.159,2.086
12,-0.535,1.446
13,-0.598,1.624
14,-0.505,1.284
15,-0.011,-1.455
16,0.126,-1.849
17,0.508,-2.221
18,0.408,-2.112
19,1.321,2.641
20,1.565,2.937
21,1.864,3.227
22,2.133,3.508
23,0.966,-2.466
24,3.753,-4.819
25,2.065,-2.767
26,4.261,-5.245
27,1.83,3.187
28,2.139,3.519
29,2.47,3.851
30,2.823,4.207
31,3.014,4.337
32,2.531,3.918
33,9.334,-6.266
34,9.064,-6.579
35,8.565,-7.091
36,8.993,-6.992
37,2.456,-3.147
38,8.206,-7.488
39,8.515,-7.143
40,7.847,-7.887
41,8.698,-7.192
42,8.178,-7.508
43,7.817,-7.898
44,7.373,-8.376
45,7.894,-7.851
46,7.424,-8.337
47,6.935,-8.878
48,7.474,-8.256
49,7.125,-8.666
50,2.47,3.85
51,2.82,4.197
52,3.436,4.944
53,3.276,4.772
54,3.164,4.091
55,3.56,4.442
56,3.921,4.762
57,3.907,4.771
58,4.334,4.519
59,4.617,4.244
60,4.959,3.92
61,5.554,3.245
62,5.918,2.902
63,11.059,-4.451
64,11.054,-4.435
65,10.733,-4.789
66,10.707,-4.8
67,11.425,-5.476
68,10.284,-5.26
69,11.46,-5.424
70,10.569,-4.826
71,11.448,-5.429
72,10.401,-5.262
73,13.506,-6.883
74,13.273,-6.622
75,13.073,-6.994
76,13.621,-6.989
77,9.973,-5.714
78,13.682,-7.621
79,13.073,-6.987
80,15.747,-8.942
81,9.574,-6.015
82,13.7,-7.568
83,15.741,-8.93
84,15.277,-9.086
85,9.546,-6.026
86,17.776,-10.768
87,15.28,-9.059
88,17.755,-10.793
89,9.138,-6.498
90,27.403,-19.727
91,27.05,-19.924
92,26.631,-20.513
93,24.974,-22.332
94,24.425,-22.934
95,3.896,4.785
96,4.196,4.487
97,4.414,4.414
98,4.622,4.232
99,4.838,4.046
100,5.08,3.966
101,5.133,3.628
102,5.247,3.493
103,5.477,3.296
104,5.635,3.141
105,6.032,2.763
106,6.379,2.591
107,6.688,2.285
108,7.361,1.532
109,8.531,-0.163
110,15.978,-9.244
111,25.056,-22.218
112,-1.335,0.175
113,-1.197,0.661
114,-0.963,-0.783
115,-1.095,-0.655
116,-0.961,-0.272
117,-1.338,-0.199
118,-1.327,-0.195
119,-1.466,0.293
120,-1.35,0.313
121,-1.096,0.593
