Image,X,Y
p000025.jpg,85260.84833,446979.3362
p000026.jpg,85260.41772,446978.7548
p000027.jpg,85259.99545,446978.2324
p000028.jpg,85260.24203,446977.6543
p000029.jpg,85260.98987,446977.2595
p000030.jpg,85261.78821,446976.6896
p000031.jpg,85261.99588,446976.2023
p000032.jpg,85261.55688,446976.9083
p000033.jpg,85260.8396,446977.5206
p000034.jpg,85259.99252,446977.7425
p000035.jpg,85259.17148,446977.3723
p000036.jpg,85258.50665,446976.7927
p000037.jpg,85257.97046,446976.0342
p000038.jpg,85257.71262,446975.1747
p000039.jpg,85257.79352,446974.2454
p000040.jpg,85257.9834,446973.2674
p000041.jpg,85257.51926,446972.36
p000042.jpg,85256.66693,446971.8118
p000043.jpg,85255.70119,446971.7411
p000044.jpg,85254.9743,446972.1193
p000045.jpg,85254.23888,446972.7136
p000046.jpg,85253.58737,446973.4278
p000047.jpg,85253.004,446974.0792
p000048.jpg,85252.32556,446974.7975
p000049.jpg,85251.66634,446975.4124
p000050.jpg,85251.87196,446975.6163
p000051.jpg,85252.33702,446974.8408
p000052.jpg,85252.80838,446974.0442
p000053.jpg,85253.43649,446973.255
p000054.jpg,85254.18712,446972.5845
p000055.jpg,85255.06984,446972.0405
p000056.jpg,85255.94363,446971.658
p000057.jpg,85256.89966,446971.7029
p000058.jpg,85257.30173,446971.222
p000059.jpg,85256.95609,446970.5567
p000060.jpg,85256.28693,446969.9401
p000061.jpg,85255.31444,446969.446
p000062.jpg,85254.40849,446968.9205
p000063.jpg,85253.57303,446968.3239
p000064.jpg,85252.83018,446967.6756
p000065.jpg,85252.05066,446966.967
p000066.jpg,85251.26137,446966.2259
p000067.jpg,85250.62016,446965.395
p000068.jpg,85249.93274,446964.5341
p000069.jpg,85249.28792,446963.5918
p000070.jpg,85248.64119,446962.7279
p000071.jpg,85247.97998,446961.913
p000072.jpg,85247.19585,446961.1952
p000073.jpg,85246.47789,446960.5435
p000074.jpg,85245.81949,446960.6512
p000075.jpg,85245.35176,446959.7737
p000076.jpg,85244.95578,446958.8164
p000077.jpg,85244.44955,446957.7686
p000078.jpg,85243.75876,446956.8695
p000079.jpg,85242.95796,446956.0284
p000080.jpg,85242.119,446955.4392
p000081.jpg,85241.14493,446955.4832
p000082.jpg,85240.30304,446955.8021
p000083.jpg,85239.55035,446956.3619
p000084.jpg,85239.33551,446957.0806
p000085.jpg,85239.83485,446957.7887
p000086.jpg,85240.45825,446958.5664
p000087.jpg,85241.20894,446959.4647
p000088.jpg,85241.98016,446960.4066
p000089.jpg,85242.68484,446961.2899
p000090.jpg,85243.48868,446962.1603
p000091.jpg,85244.22446,446963.0234
p000092.jpg,85244.91655,446963.8865
p000093.jpg,85245.59129,446964.7255
p000094.jpg,85246.27969,446965.6486
p000095.jpg,85246.95279,446966.5004
p000096.jpg,85247.62325,446967.3224
p000097.jpg,85248.44783,446967.6455
